Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.64820384
Total DOS in Cell and MT Volumes =    4.64143193   3.91068797
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.12823382           0.93700719           0.77291063
  1    -1           0.07727404           0.55018227           0.38358543
  1     0           0.07727404           0.55018227           0.38358543
  1     1           0.07727404           0.55018227           0.38358543
  2    -2           2.98146480           0.40095025           0.39326615
  2    -1           2.98146480           0.40095025           0.39326615
  2     0           2.98146480           0.40095025           0.39326615
  2     1           2.98146480           0.40095025           0.39326615
  2     2           2.98146480           0.40095025           0.39326615
  3    -3           0.00138021           0.00660606           0.00282875
  3    -2           0.00138021           0.00660606           0.00282875
  3    -1           0.00138021           0.00660606           0.00282875
  3     0           0.00138021           0.00660606           0.00282875
  3     1           0.00138021           0.00660606           0.00282875
  3     2           0.00138021           0.00660606           0.00282875
  3     3           0.00138021           0.00660606           0.00282875
  4    -4           0.00003808           0.00032048           0.00009878
  4    -3           0.00003808           0.00032048           0.00009878
  4    -2           0.00003808           0.00032048           0.00009878
  4    -1           0.00003808           0.00032048           0.00009878
  4     0           0.00003808           0.00032048           0.00009878
  4     1           0.00003808           0.00032048           0.00009878
  4     2           0.00003808           0.00032048           0.00009878
  4     3           0.00003808           0.00032048           0.00009878
  4     4           0.00003808           0.00032048           0.00009878
